지점,지점명,일시,기온(°C),강수량(mm)
108,서울,2018-07-10 09:00,22.3,
108,서울,2018-07-10 10:00,22.6,
108,서울,2018-07-10 11:00,23.2,
108,서울,2018-07-10 12:00,24.1,
108,서울,2018-07-10 13:00,25.2,
108,서울,2018-07-10 14:00,25.5,
108,서울,2018-07-10 15:00,25.7,
108,서울,2018-07-10 16:00,26.3,
108,서울,2018-07-10 17:00,26.5,
108,서울,2018-07-10 18:00,26.2,0
108,서울,2018-07-10 19:00,25.7,.5
108,서울,2018-07-10 20:00,25.3,0
108,서울,2018-07-10 21:00,25.1,0
108,서울,2018-07-10 22:00,25,0
108,서울,2018-07-10 23:00,24.9,0
108,서울,2018-07-11 00:00,24.6,.5
108,서울,2018-07-11 01:00,24.6,.5
108,서울,2018-07-11 02:00,24.5,0
108,서울,2018-07-11 03:00,24.5,.5
108,서울,2018-07-11 04:00,24.5,0
108,서울,2018-07-11 05:00,24.5,.5
108,서울,2018-07-11 06:00,24.5,.5
108,서울,2018-07-11 07:00,24.6,.5
108,서울,2018-07-11 08:00,25.1,0
108,서울,2018-07-11 09:00,25.6,0
108,서울,2018-07-11 10:00,26.3,.5
108,서울,2018-07-11 11:00,27.2,0
108,서울,2018-07-11 12:00,28.1,
108,서울,2018-07-11 13:00,28.7,
108,서울,2018-07-11 14:00,29.2,
108,서울,2018-07-11 15:00,29.4,
108,서울,2018-07-11 16:00,28.7,0
108,서울,2018-07-11 17:00,28.7,
108,서울,2018-07-11 18:00,28.4,
108,서울,2018-07-11 19:00,28.2,
108,서울,2018-07-11 20:00,27.7,
108,서울,2018-07-11 21:00,27.3,
108,서울,2018-07-11 22:00,27.1,
108,서울,2018-07-11 23:00,26.9,
108,서울,2018-07-12 00:00,26.7,
108,서울,2018-07-12 01:00,26.6,
108,서울,2018-07-12 02:00,26.3,
108,서울,2018-07-12 03:00,26.2,0
108,서울,2018-07-12 04:00,26.1,0
108,서울,2018-07-12 05:00,25.9,.5
108,서울,2018-07-12 06:00,25.6,0
108,서울,2018-07-12 07:00,25.9,
108,서울,2018-07-12 08:00,26.3,
108,서울,2018-07-12 09:00,26.5,0
108,서울,2018-07-12 10:00,26.7,.5
108,서울,2018-07-12 11:00,27.4,0
108,서울,2018-07-12 12:00,27.4,0
108,서울,2018-07-12 13:00,27.7,0
108,서울,2018-07-12 14:00,27.8,
108,서울,2018-07-12 15:00,28,
108,서울,2018-07-12 16:00,28.1,
108,서울,2018-07-12 17:00,27.9,
108,서울,2018-07-12 18:00,27.5,
108,서울,2018-07-12 19:00,27.4,
108,서울,2018-07-12 20:00,26.9,
108,서울,2018-07-12 21:00,26.3,
108,서울,2018-07-12 22:00,25.9,
108,서울,2018-07-12 23:00,25.5,
108,서울,2018-07-13 00:00,25.1,
108,서울,2018-07-13 01:00,24.8,
108,서울,2018-07-13 02:00,24.9,
108,서울,2018-07-13 03:00,24.9,
108,서울,2018-07-13 04:00,24.8,
108,서울,2018-07-13 05:00,24.8,
108,서울,2018-07-13 06:00,24.8,
108,서울,2018-07-13 07:00,25,
108,서울,2018-07-13 08:00,25.5,
108,서울,2018-07-13 09:00,26.6,
108,서울,2018-07-13 10:00,27.4,
108,서울,2018-07-13 11:00,27.5,
108,서울,2018-07-13 12:00,28.3,
108,서울,2018-07-13 13:00,28.9,
108,서울,2018-07-13 14:00,29.5,
108,서울,2018-07-13 15:00,30.2,
108,서울,2018-07-13 16:00,30,
108,서울,2018-07-13 17:00,30.1,
108,서울,2018-07-13 18:00,30.8,
108,서울,2018-07-13 19:00,29.8,
108,서울,2018-07-13 20:00,28.2,
108,서울,2018-07-13 21:00,27.2,
108,서울,2018-07-13 22:00,26.7,
108,서울,2018-07-13 23:00,26.2,
108,서울,2018-07-14 00:00,25.7,
108,서울,2018-07-14 01:00,25.4,
108,서울,2018-07-14 02:00,25.3,
108,서울,2018-07-14 03:00,25.2,
108,서울,2018-07-14 04:00,25.1,
108,서울,2018-07-14 05:00,24.8,0
108,서울,2018-07-14 06:00,24.6,
108,서울,2018-07-14 07:00,24.9,
108,서울,2018-07-14 08:00,26.1,
108,서울,2018-07-14 09:00,27,
108,서울,2018-07-14 10:00,27.8,
108,서울,2018-07-14 11:00,29,
108,서울,2018-07-14 12:00,30.2,
108,서울,2018-07-14 13:00,30.7,
108,서울,2018-07-14 14:00,30.7,
108,서울,2018-07-14 15:00,31.1,
108,서울,2018-07-14 16:00,31.7,
108,서울,2018-07-14 17:00,31.5,
108,서울,2018-07-14 18:00,31.1,
108,서울,2018-07-14 19:00,30.4,
108,서울,2018-07-14 20:00,29.2,
108,서울,2018-07-14 21:00,28.2,
108,서울,2018-07-14 22:00,27.6,
108,서울,2018-07-14 23:00,26.6,
108,서울,2018-07-15 00:00,26,
108,서울,2018-07-15 01:00,25.5,
108,서울,2018-07-15 02:00,25.1,
108,서울,2018-07-15 03:00,24.8,
108,서울,2018-07-15 04:00,24.6,
108,서울,2018-07-15 05:00,24.5,
108,서울,2018-07-15 06:00,24.8,
108,서울,2018-07-15 07:00,25.2,
108,서울,2018-07-15 08:00,26.2,
108,서울,2018-07-15 09:00,27,
108,서울,2018-07-15 10:00,28.5,
108,서울,2018-07-15 11:00,28.7,
108,서울,2018-07-15 12:00,30.1,
108,서울,2018-07-15 13:00,31.4,
108,서울,2018-07-15 14:00,32.4,
108,서울,2018-07-15 15:00,32.9,
108,서울,2018-07-15 16:00,32.8,
108,서울,2018-07-15 17:00,32.7,
108,서울,2018-07-15 18:00,32.2,
108,서울,2018-07-15 19:00,31.2,
108,서울,2018-07-15 20:00,29.2,
108,서울,2018-07-15 21:00,28.1,
108,서울,2018-07-15 22:00,27.5,
108,서울,2018-07-15 23:00,27,
108,서울,2018-07-16 00:00,26.5,
108,서울,2018-07-16 01:00,25.9,
108,서울,2018-07-16 02:00,25.4,
108,서울,2018-07-16 03:00,25.1,
108,서울,2018-07-16 04:00,24.6,
108,서울,2018-07-16 05:00,24.3,
108,서울,2018-07-16 06:00,24,
108,서울,2018-07-16 07:00,24.5,
108,서울,2018-07-16 08:00,26.4,
108,서울,2018-07-16 09:00,28,
108,서울,2018-07-16 10:00,29.8,
108,서울,2018-07-16 11:00,31.5,
108,서울,2018-07-16 12:00,32.4,
108,서울,2018-07-16 13:00,33,
108,서울,2018-07-16 14:00,33.7,
108,서울,2018-07-16 15:00,33.4,
108,서울,2018-07-16 16:00,33.3,
108,서울,2018-07-16 17:00,33,
108,서울,2018-07-16 18:00,32.3,
108,서울,2018-07-16 19:00,31.2,
108,서울,2018-07-16 20:00,29.3,
108,서울,2018-07-16 21:00,28,
108,서울,2018-07-16 22:00,27.2,
108,서울,2018-07-16 23:00,26.6,
108,서울,2018-07-17 00:00,26.4,
108,서울,2018-07-17 01:00,25.8,
108,서울,2018-07-17 02:00,25.3,
108,서울,2018-07-17 03:00,24.8,
108,서울,2018-07-17 04:00,24.4,
108,서울,2018-07-17 05:00,24.1,
108,서울,2018-07-17 06:00,24,
108,서울,2018-07-17 07:00,24.4,
108,서울,2018-07-17 08:00,25.8,
108,서울,2018-07-17 09:00,27.5,
108,서울,2018-07-17 10:00,29.2,
108,서울,2018-07-17 11:00,30.4,
108,서울,2018-07-17 12:00,30.8,
108,서울,2018-07-17 13:00,31.1,
108,서울,2018-07-17 14:00,31.8,
108,서울,2018-07-17 15:00,31.9,
108,서울,2018-07-17 16:00,32,
108,서울,2018-07-17 17:00,31.8,
108,서울,2018-07-17 18:00,31.3,
108,서울,2018-07-17 19:00,30.6,
108,서울,2018-07-17 20:00,28.9,
108,서울,2018-07-17 21:00,27.9,
108,서울,2018-07-17 22:00,27.2,
108,서울,2018-07-17 23:00,26.6,
108,서울,2018-07-18 00:00,26.2,
108,서울,2018-07-18 01:00,25.7,
108,서울,2018-07-18 02:00,25.2,
108,서울,2018-07-18 03:00,24.7,
108,서울,2018-07-18 04:00,24.3,
108,서울,2018-07-18 05:00,23.9,
108,서울,2018-07-18 06:00,23.7,
108,서울,2018-07-18 07:00,24.2,
108,서울,2018-07-18 08:00,25.8,
108,서울,2018-07-18 09:00,27.2,
108,서울,2018-07-18 10:00,28.9,
